"","yeast","Fly.Line","X.eggs.on.yeast.side","X.eggs.on.CTL.side","Total.eggs","Oviposition.index","1-hexanol, 2-ethyl_1765","1, 3 dioxolane, 2,4,5-trimethyl_347","2-methoxy-4-vinylphenol (vanilla, coffee, clove)_3379","3(2H)-Thiophenone, dihydro-2-methyl (blackberry)_1514","7-octenoic acid, ethyl ester_2692","acetic acid (very tiny)_199","acetic acid, 2-phenylethyl ester _3100","acetic acid, 2-phenylethyl ester_3043","acetic acid, 2-phenylethyl ester_3071","butanoic acid, ethyl ester_589","decanoic acid, ethyl ester_3810","ethane, 1, -diethoxy (very tiny)_357","ethanol_36","ethanol?_75","ethyl acetate_135","Hex-5-enoic acid, ethyl ester_1526","Hexanoic acid, ethyl ester_1595","isoamyl acetate (very tiny)_220","isoamyl acetate (very tiny)_422","isoamyl acetate_924","isoamyl acetate_937","isoamyl acetate_945","isoamyl alcohol_373","isobutanol_159","isobutyl acetate_490","methyl anthranilate (concord grapes)_3522","Nonanal_2202","octanoic acid ethyl ester_2741","oxime, methoxyphenyl (small)_1092","phenyethyl alcohol_2157","phenyethyl alcohol_2249","phenyethyl alcohol_2291","propanoic acid, ethyl ester_308","triacetin_3589"
"1","Yeast.1","RW1005",184,14,198,0.858585858585859,0,0.34992,1,1,1,0.18665,0,0,0.0032137,0.9772,0,0.34992,1,0.83645,0.11647,1,1,0.095952,0,0.73309,0.0038196,0,0.76947,0.33525,0,1,0.88033,1,0,0,0.58718,0,0.14003,0
"2","Yeast.1","RW1005",204,8,212,0.924528301886792,0,0.34992,1,1,1,0.18665,0,0,0.0032137,0.9772,0,0.34992,1,0.83645,0.11647,1,1,0.095952,0,0.73309,0.0038196,0,0.76947,0.33525,0,1,0.88033,1,0,0,0.58718,0,0.14003,0
"3","Yeast.1","RW1005",231,8,239,0.933054393305439,0,0.34992,1,1,1,0.18665,0,0,0.0032137,0.9772,0,0.34992,1,0.83645,0.11647,1,1,0.095952,0,0.73309,0.0038196,0,0.76947,0.33525,0,1,0.88033,1,0,0,0.58718,0,0.14003,0
"4","Yeast.1","RW1005",207,44,251,0.649402390438247,0,0.34992,1,1,1,0.18665,0,0,0.0032137,0.9772,0,0.34992,1,0.83645,0.11647,1,1,0.095952,0,0.73309,0.0038196,0,0.76947,0.33525,0,1,0.88033,1,0,0,0.58718,0,0.14003,0
"5","Yeast.1","RW1005",227,96,323,0.405572755417957,0,0.34992,1,1,1,0.18665,0,0,0.0032137,0.9772,0,0.34992,1,0.83645,0.11647,1,1,0.095952,0,0.73309,0.0038196,0,0.76947,0.33525,0,1,0.88033,1,0,0,0.58718,0,0.14003,0
"6","Yeast.1","RW1005",200,12,212,0.886792452830189,0,0.34992,1,1,1,0.18665,0,0,0.0032137,0.9772,0,0.34992,1,0.83645,0.11647,1,1,0.095952,0,0.73309,0.0038196,0,0.76947,0.33525,0,1,0.88033,1,0,0,0.58718,0,0.14003,0
"7","Yeast.2","RW1005",150,14,164,0.829268292682927,0,0.41668,0,0,0,0.24482,0,0,0.0043946,0,0,0.41668,0.89141,0.62492,1,0,0,0.12586,0,0.42385,0.0020915,0,0.39356,0.26446,0,0,0.91702,0.31833,0.67012,0,0.33826,0.65361,0.38125,0
"8","Yeast.2","RW1005",230,10,240,0.916666666666667,0,0.41668,0,0,0,0.24482,0,0,0.0043946,0,0,0.41668,0.89141,0.62492,1,0,0,0.12586,0,0.42385,0.0020915,0,0.39356,0.26446,0,0,0.91702,0.31833,0.67012,0,0.33826,0.65361,0.38125,0
"9","Yeast.2","RW1005",137,10,147,0.863945578231292,0,0.41668,0,0,0,0.24482,0,0,0.0043946,0,0,0.41668,0.89141,0.62492,1,0,0,0.12586,0,0.42385,0.0020915,0,0.39356,0.26446,0,0,0.91702,0.31833,0.67012,0,0.33826,0.65361,0.38125,0
"10","Yeast.2","RW1005",121,3,124,0.951612903225806,0,0.41668,0,0,0,0.24482,0,0,0.0043946,0,0,0.41668,0.89141,0.62492,1,0,0,0.12586,0,0.42385,0.0020915,0,0.39356,0.26446,0,0,0.91702,0.31833,0.67012,0,0.33826,0.65361,0.38125,0
"11","Yeast.2","RW1005",66,5,71,0.859154929577465,0,0.41668,0,0,0,0.24482,0,0,0.0043946,0,0,0.41668,0.89141,0.62492,1,0,0,0.12586,0,0.42385,0.0020915,0,0.39356,0.26446,0,0,0.91702,0.31833,0.67012,0,0.33826,0.65361,0.38125,0
"12","Yeast.2","RW1005",127,4,131,0.938931297709924,0,0.41668,0,0,0,0.24482,0,0,0.0043946,0,0,0.41668,0.89141,0.62492,1,0,0,0.12586,0,0.42385,0.0020915,0,0.39356,0.26446,0,0,0.91702,0.31833,0.67012,0,0.33826,0.65361,0.38125,0
